B2,B3,B4,B5,B6,B7
0.0243,0.0439,0.0291,0.3202,0.1229,0.0596
0.0411,0.0606,0.04515,0.3346,0.16055,0.07855
0.0596,0.0824,0.0734,0.2498,0.1621,0.1076
0.0511,0.07675,0.0682,0.291,0.1867,0.1135
0.04315,0.07035,0.06325,0.2686,0.1721,0.1039
0.3747,0.3635,0.3529,0.346,0.0648,0.0644
0.036,0.0442,0.0328,0.1706,0.0757,0.0352
0.0271,0.04075,0.0324,0.20005,0.09615,0.051
0.046,0.0708,0.0655,0.2356,0.129,0.0801
0.03325,0.04465,0.03455,0.1825,0.0877,0.04205
0.0218,0.0379,0.0344,0.1596,0.0516,0.0278
0.0985,0.1434,0.0937,0.1799,0.0705,0.0359
0.0183,0.0311,0.0228,0.1416,0.048,0.0279
0.03245,0.0546,0.04665,0.2007,0.1221,0.0742
0.0193,0.0336,0.02625,0.16935,0.0739,0.03995
0.0633,0.078,0.0856,0.2326,0.1822,0.128
0.0344,0.0563,0.0503,0.1518,0.0782,0.051
0.02125,0.0339,0.02395,0.1254,0.0711,0.0374
0.0533,0.078,0.0757,0.254,0.2176,0.1296
0.0606,0.0841,0.0913,0.208,0.2399,0.1717
0.0245,0.0414,0.0378,0.167,0.08085,0.0466
0.02355,0.0402,0.03445,0.1499,0.1024,0.0643
0.0281,0.0584,0.0374,0.206,0.0951,0.052
0.0289,0.05,0.0457,0.1982,0.1183,0.064
0.0363,0.05995,0.0568,0.23425,0.1693,0.10075
0.0281,0.0481,0.0397,0.2027,0.0837,0.0464
0.03425,0.0558,0.0457,0.2087,0.1275,0.0748
0.0339,0.0553,0.0538,0.2236,0.121,0.0704
0.0472,0.0687,0.0797,0.2318,0.1607,0.1017
0.0269,0.0504,0.0425,0.1935,0.1245,0.0753
0.0199,0.03405,0.0219,0.1554,0.0756,0.0383
0.0243,0.0427,0.03785,0.19215,0.1106,0.06315
0.0453,0.0659,0.0455,0.2265,0.1257,0.0655
0.0151,0.0279,0.0232,0.1126,0.0273,0.0261
0.01975,0.0503,0.0322,0.2349,0.0826,0.0408
0.02215,0.0381,0.02245,0.1929,0.09055,0.0431
0.0273,0.0479,0.0374,0.2269,0.1247,0.0662
0.03055,0.0463,0.0386,0.2289,0.11215,0.05895
0.0413,0.0602,0.0559,0.2368,0.1644,0.0986
0.0342,0.05515,0.0404,0.2555,0.1107,0.0608
0.046,0.0913,0.0709,0.2819,0.1389,0.0882
0.1596,0.1721,0.1641,0.2505,0.0758,0.0496
0.04,0.0553,0.04855,0.1215,0.0671,0.0404
0.0316,0.0488,0.0354,0.2187,0.1298,0.064
0.06455,0.09215,0.0936,0.30695,0.2207,0.15685
0.04135,0.0632,0.06285,0.25995,0.16635,0.09595
0.03165,0.05215,0.0376,0.22075,0.10975,0.05995
0.02965,0.0518,0.0383,0.23085,0.1019,0.05355
0.026,0.0452,0.0313,0.2196,0.1036,0.0486
0.02345,0.04135,0.03125,0.20555,0.0891,0.04355
0.02045,0.0375,0.0259,0.18385,0.0765,0.03955
0.0223,0.0448,0.0368,0.2309,0.0892,0.0451
0.0296,0.0489,0.0384,0.2404,0.116,0.0619
0.02405,0.04415,0.0327,0.20055,0.1105,0.0563
0.0216,0.0414,0.0291,0.159,0.0837,0.0405
0.04795,0.0601,0.0591,0.1721,0.1635,0.10415
0.0307,0.0508,0.0447,0.18385,0.1133,0.06475
0.02105,0.0376,0.0278,0.19765,0.0897,0.04645
0.0389,0.0529,0.046,0.1626,0.1279,0.0987
0.04095,0.05715,0.05725,0.18085,0.14145,0.0979
0.02745,0.04585,0.0408,0.2118,0.12355,0.0718
0.0877,0.1134,0.1202,0.2976,0.2823,0.2089
0.0305,0.0515,0.0459,0.2435,0.1026,0.057
0.05045,0.07605,0.0758,0.251,0.19215,0.1337
0.0136,0.0306,0.0181,0.1813,0.06875,0.0332
0.022,0.01495,0.00715,0.00725,0.01295,0.01235
0.025,0.0119,0.00305,-2.5E-4,0.003,0.00325
0.0275,0.0163,0.0044,0.0019,0.0034,0.0042
